Hugo_Symbol,tumor_mean,normal_mean,log2_fold_change,abs_log2_fold_change
ROR2,8.289583181674601,9.92101789049028,-1.6314347088156786,1.6314347088156786
CTNND2,8.215810730460413,6.584708200392827,1.6311025300675865,1.6311025300675865
CD177,8.300566295024792,9.92815362552066,-1.6275873304958672,1.6275873304958672
KIAA1644,6.564455026679301,8.191182777535532,-1.6267277508562312,1.6267277508562312
RNF165,4.8846187280367115,6.511173178484561,-1.6265544504478493,1.6265544504478493
EZH2,6.854220046591808,5.228009675182401,1.6262103714094076,1.6262103714094076
EPHA2,7.6486194574868,9.27465137982983,-1.6260319223430306,1.6260319223430306
ELFN2,8.332868300954072,6.706871255556655,1.6259970453974164,1.6259970453974164
MAMDC2,6.281480372441891,7.906882916251823,-1.6254025438099324,1.6254025438099324
SHISA9,5.476889846051993,7.102022038555112,-1.625132192503119,1.625132192503119
ANO4,6.081359655363657,7.70513539040328,-1.6237757350396231,1.6237757350396231
SORBS1,11.02048808545772,12.643597081532853,-1.6231089960751337,1.6231089960751337
ME1,7.050316106972491,8.672805116857953,-1.622489009885462,1.622489009885462
IQSEC3,3.9741292969024165,5.596227462149344,-1.622098165246928,1.622098165246928
PHYHIP,6.265706446246422,7.884592309332744,-1.618885863086322,1.618885863086322
JPH2,8.695427769206994,10.313181291301593,-1.617753522094599,1.617753522094599
SV2B,5.768188252565381,7.385735913519401,-1.6175476609540196,1.6175476609540196
SPON1,8.291331222024846,9.907101983984743,-1.6157707619598973,1.6157707619598973
POF1B,5.273317191204583,6.888583472197846,-1.6152662809932625,1.6152662809932625
ARMCX1,8.203239138206325,9.818321750036436,-1.6150826118301111,1.6150826118301111
ATCAY,5.651613738911076,7.265263881616951,-1.6136501427058754,1.6136501427058754
RAB40A,3.5852012011860745,5.198213665586106,-1.6130124644000317,1.6130124644000317
PRICKLE2,8.107510271047124,9.719918309738357,-1.6124080386912336,1.6124080386912336
FOXP2,4.128263779198563,5.740577880256164,-1.612314101057601,1.612314101057601
C1orf114,3.6205598356651176,5.230213441174635,-1.609653605509517,1.609653605509517
PKMYT1,5.851242577859278,4.242677771262354,1.6085648065969238,1.6085648065969238
